UniversityName;DepartmentName;Address;UniversityId
"Università ""Campus Bio-Medico"" di ROMA";Ingegneria;Via Alvaro del Portillo, 21 - 00128 ROMA (RM) ;6
"Università ""Campus Bio-Medico"" di ROMA";Medicina e Chirurgia;Via Alvaro del Portillo, 21 - 00128 ROMA (RM) ;6
"Libera Univ. Inter.le Studi Sociali ""Guido Carli"" LUISS-ROMA";ECONOMIA E FINANZA;VIALE ROMANIA, 32 - 00197 ROMA (RM) ;7
"Libera Univ. Inter.le Studi Sociali ""Guido Carli"" LUISS-ROMA";GIURISPRUDENZA;VIA PARENZO,11 - 00198 ROMA (RM) ;7
"Libera Univ. Inter.le Studi Sociali ""Guido Carli"" LUISS-ROMA";IMPRESA E MANAGEMENT;VIALE ROMANIA, 32 - 00197 ROMA (RM) ;7
"Libera Univ. Inter.le Studi Sociali ""Guido Carli"" LUISS-ROMA";SCIENZE POLITICHE;VIALE ROMANIA, 32 - 00197 ROMA (RM) ;7
Università degli Studi Internazionali di ROMA (UNINT);PIO V ; - 00100 ROMA (RM) ;8
"Libera Università degli Studi ""Maria SS.Assunta"" - LUMSA";Giurisprudenza;VIA POMPEO MAGNO 22 - 00192 ROMA (RM) ;9
"Libera Università degli Studi ""Maria SS.Assunta"" - LUMSA";Giurisprudenza (corsi di laurea a Palermo);Via della Traspontina n. 21 - 00193 ROMA (RM) ;9
"Libera Università degli Studi ""Maria SS.Assunta"" - LUMSA";Scienze economiche, politiche e delle lingue moderne;VIA POMPEO MAGNO 22 - 00192 ROMA (RM) ;9
"Libera Università degli Studi ""Maria SS.Assunta"" - LUMSA";Scienze umane - comunicazione, formazione e psicologia;PIAZZA DELLE VASCHETTE 101 - 00193 ROMA (RM) ;9
LINK CAMPUS University;DIPARTIMENTO PER LA RICERCA ;Via Nomentana, 335 - 00162 ROMA (RM) ;10
Università Telematica GUGLIELMO MARCONI;FISICA NUCLEARE SUBNUCLEARE E DELLE RADIAZIONI (DFNR) ; -  ROMA (RM) ;11
Università Telematica GUGLIELMO MARCONI;INGEGNERIA DELL'INNOVAZIONE & DELL'INFORMAZIONE ; -  ROMA (RM) ;11
Università Telematica GUGLIELMO MARCONI;INGEGNERIA DELLA SOSTENIBILITÀ ; -  ROMA (RM) ;11
Università Telematica GUGLIELMO MARCONI;SCIENZE ECONOMICHE E AZIENDALI ;Via Plinio, 44 - 00193 ROMA (RM) ;11
Università Telematica GUGLIELMO MARCONI;SCIENZE GIURIDICHE E POLITICHE ; -  ROMA (RM) ;11
Università Telematica GUGLIELMO MARCONI;TECNOLOGIE, COMUNICAZIONE E SOCIETÀ ; -  ROMA (RM) ;11
Università Telematica San Raffaele Roma;Dipartimento di Promozione delle Scienze Umane e della Qualità della Vita;via di VAl Cannuta, 247 - 00166 ROMA (RM) ;12
Università Telematica Internazionale UNINETTUNO;UNINETTUNO ; -  ROMA (RM) ;13
Università Telematica UNITELMA SAPIENZA;SCIENZE GIURIDICHE ED ECONOMICHE ; -  ROMA (RM) ;14
Università Telematica UNITELMA SAPIENZA;UNIVERSITÀ TELEMATICA TEL.M.A.; - 00100 ROMA (RM) ;14
UNICUSANO Università degli Studi Niccolò Cusano - Telematica Roma;DIPARTIMENTO UNICUSANO ; -  ROMA (RM) ;15
