DepartmentName;Address
Scienze economiche, politiche e delle lingue moderne;VIA POMPEO MAGNO 22 - 00192 ROMA (RM) 
Scienze umane - comunicazione, formazione e psicologia;PIAZZA DELLE VASCHETTE 101 - 00193 ROMA (RM) 
DIPARTIMENTO PER LA RICERCA ;Via Nomentana, 335 - 00162 ROMA (RM) 
FISICA NUCLEARE SUBNUCLEARE E DELLE RADIAZIONI (DFNR) ; -  ROMA (RM) 
INGEGNERIA DELL'INNOVAZIONE & DELL'INFORMAZIONE ; -  ROMA (RM) 
INGEGNERIA DELLA SOSTENIBILITÀ ; -  ROMA (RM) 
SCIENZE ECONOMICHE E AZIENDALI ;Via Plinio, 44 - 00193 ROMA (RM) 
SCIENZE GIURIDICHE E POLITICHE ; -  ROMA (RM) 
TECNOLOGIE, COMUNICAZIONE E SOCIETÀ ; -  ROMA (RM) 
Dipartimento di Promozione delle Scienze Umane e della Qualità della Vita;via di VAl Cannuta, 247 - 00166 ROMA (RM) 
UNINETTUNO ; -  ROMA (RM) 
SCIENZE GIURIDICHE ED ECONOMICHE ; -  ROMA (RM) 
UNIVERSITÀ TELEMATICA TEL.M.A.; - 00100 ROMA (RM) 
DIPARTIMENTO UNICUSANO ; -  ROMA (RM) 
